AD DisplayName,Assigned Roles,Department,Department ID,Detected Roles,Functional Division,Functional Division ID,Group Division,Group Division ID,Job Code,Job Profile,Management Level,Manager,POI Type Code,POI Type Description,Position Description Long,Squad ID,Squad Name,Username
AD DisplayName 1055,Assigned Roles 292,Department 5,Department ID 5,Detected Roles 368,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 20,Job Profile 20,Management Level 3,Manager 6,POI Type Code 0,POI Type Description 0,Position Description Long 175,Squad ID 0,Squad Name 0,2ccb1140
AD DisplayName 1056,Assigned Roles 256,Department 3,Department ID 3,Detected Roles 350,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 11,Job Profile 11,Management Level 3,Manager 118,POI Type Code 0,POI Type Description 0,Position Description Long 148,Squad ID 0,Squad Name 0,21e5f17b
AD DisplayName 1057,Assigned Roles 308,Department 28,Department ID 28,Detected Roles 379,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 16,Job Profile 16,Management Level 3,Manager 154,POI Type Code 0,POI Type Description 0,Position Description Long 119,Squad ID 0,Squad Name 0,d77f1fd9
AD DisplayName 1058,Assigned Roles 252,Department 15,Department ID 15,Detected Roles 338,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 16,Job Profile 16,Management Level 3,Manager 21,POI Type Code 0,POI Type Description 0,Position Description Long 176,Squad ID 0,Squad Name 0,435859e1
AD DisplayName 1059,Assigned Roles 304,Department 54,Department ID 54,Detected Roles 380,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 74,Job Profile 74,Management Level 2,Manager 187,POI Type Code 0,POI Type Description 0,Position Description Long 177,Squad ID 0,Squad Name 0,0e75ca95
AD DisplayName 1060,Assigned Roles 247,Department 81,Department ID 81,Detected Roles 381,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 21,Job Profile 21,Management Level 3,Manager 188,POI Type Code 0,POI Type Description 0,Position Description Long 12,Squad ID 0,Squad Name 0,a15c18ad
AD DisplayName 1061,Assigned Roles 251,Department 0,Department ID 0,Detected Roles 276,Functional Division 0,Functional Division ID 0,Group Division 0,Group Division ID 0,Job Code 94,Job Profile 94,Management Level 2,Manager 43,POI Type Code 0,POI Type Description 0,Position Description Long 178,Squad ID 0,Squad Name 0,1bd1f97c
AD DisplayName 1062,Assigned Roles 256,Department 16,Department ID 16,Detected Roles 350,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 83,Job Profile 83,Management Level 2,Manager 137,POI Type Code 0,POI Type Description 0,Position Description Long 179,Squad ID 0,Squad Name 0,ffc3efc2
AD DisplayName 1063,Assigned Roles 309,Department 68,Department ID 68,Detected Roles 382,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 79,Job Profile 79,Management Level 3,Manager 189,POI Type Code 0,POI Type Description 0,Position Description Long 124,Squad ID 0,Squad Name 0,4b8ddcb6
AD DisplayName 1064,Assigned Roles 264,Department 10,Department ID 10,Detected Roles 383,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 78,Job Profile 78,Management Level 2,Manager 136,POI Type Code 0,POI Type Description 0,Position Description Long 115,Squad ID 0,Squad Name 0,ea8d207c
AD DisplayName 1065,Assigned Roles 310,Department 33,Department ID 33,Detected Roles 384,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 95,Job Profile 95,Management Level 5,Manager 116,POI Type Code 0,POI Type Description 0,Position Description Long 180,Squad ID 0,Squad Name 0,47f71ce6
AD DisplayName 1066,Assigned Roles 311,Department 28,Department ID 28,Detected Roles 385,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 16,Job Profile 16,Management Level 3,Manager 154,POI Type Code 0,POI Type Description 0,Position Description Long 181,Squad ID 0,Squad Name 0,28af1262
AD DisplayName 1067,Assigned Roles 289,Department 44,Department ID 44,Detected Roles 386,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 83,Job Profile 83,Management Level 2,Manager 174,POI Type Code 0,POI Type Description 0,Position Description Long 182,Squad ID 0,Squad Name 0,cb6e4c18
